Designator,Footprint,Quantity,Value,LCSC Part #
"C2, C3, C4, C5, C6",0603,5,100nf,
C7,0603,1,22uf,
D1,D_SOD-123,1,B5819W,
"D2, D3",0603,2,LED,
D4,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,1,SK6812MINI,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
"J2, J3",PinHeader_1x15_P2.54mm_Vertical,2,Conn_01x15_Pin,
"Q1, Q2",SOT-23,2,SS8050,
"R1, R2",0603,2,5.1k,
R3,0603,1,1K,
"R4, R5, R6",0603,3,10K,
R7,0603,1,220R,
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,ESP32-WROOM-32,1,ESP32-WROOM-32,
U2,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
